filename,xp1m,xp2,xp3,xp4
209.html,-1,آنها كه ايمان به ملاقات ما (و روز رستاخيز) ندارند، و به زندگى دنيا خشنود شدند و بر آن تكيه كردند، و آنها كه از آيات ما غافلند، (7),بد است اقدام نکنید که پشیمان خواهید شد.,بحرام خواهید افتاد ترک کنید.
21.html,-1,(اهل كتاب) گفتند: «يهودى يا مسيحى شويد، تا هدايت يابيد!» بگو: «(اين آيينهاى تحريف شده، هرگز نمى تواند موجب هدايت گردد،) بلكه از آيين خالص ابراهيم پيروى كنيد! و او هرگز از مشركان نبود!» (135),بد است و با عمل‌کردن به آن چیزی عایدتان نمی‌شود.,آن‌چنان هم که می گویند تعریفی ندارد کار خودت را بکن و از این معامله صرف نظر کن.
211.html,-1,هنگامى كه به مردم، پس از ناراحتى كه به آنها رسيده است، رحمتى بچشانيم، در آيات ما نيرنگ مى كنند (،و براى آن نعمت و رحمت توجيهات ناروا مى كنند); بگو: «خداوند سريعتر از شما مكر ( چاره جويى) مى كند; و رسولان ( فرشتگان ) ما، آنچه نيرنگ مى كنيد (و نقشه مى كشيد)، مى نويسند!» (21),بد است مکر و حیله در کار است ترک شود.,فریب و نیرنگ در کار است در صورت انجام ضرر خواهید کرد.
213.html,-1,بگو: «آيا هيچ يك از معبودهاى شما، آفرينش را ايجاد مى كند و سپس بازمى گرداند؟!» بگو: س خ للّهتنها خدا آفرينش را ايجاد كرده، سپس بازمى گرداند; با اين حال، چرا از حق روى گردان مى شويد؟!» (34),بد است مکر و حیله در کار است ترک کنید.,نیرنگ و فریب در کار است انجام ندهید پشیمان خواهید شد.
215.html,-1,و هر كس كه ستم كرده، اگر تمامى آنچه روى زمين است در اختيار داشته باشد، (همه را از هول عذاب،) براى نجات خويش مى دهد! و هنگامى كه عذاب را ببينند،( پشيمان مى شوند; اما) پشيمانى خود را كتمان مى كنند (،مبادا رسواتر شوند)! و در ميان آنها، بعدالت داورى مى شود; و ستمى بر آنها نخواهد شد! (54),بد است به‌هیچ‌وجه انجام ندهید که پشیمان خواهید شد.,ضرر هنگفتی را متحمل می‌شوید حتما ترک کنید.
217.html,1,و اگر از قبول دعوتم روى بگردانيد، (كار نادرستى كرده ايد; چه اينكه) من از شما مزدى نمى خواهم; مزد من، تنها بر خداست! و من مامورم كه از مسلمين ( تسليم شدگان در برابر فرمان خدا) باشم!» (72),خوب است با توکل به‌خدا و مشورت اقدام کنید.,مقداری اذیت خواهید شد با مشورت افراد خبره اقدام کنید ان‌شاءالله سود خواهید برد.
219.html,1,(سرانجام) بنى اسرائيل را از دريا ( رود عظيم نيل) عبور داديم; و فرعون و لشكرش از سر ظلم و تجاوز، به دنبال آنها رفتند; هنگامى كه غرقاب دامن او را گرفت، گفت: «ايمان آوردم كه هيچ معبودى، جز كسى كه بنى اسرائيل به او ايمان آورده اند، وجود ندارد; و من از مسلمين هستم! س ذللّه (90),خوب است با توکل به‌خدا اقدام کنید.,معامله‌ی خوبی است با رعایت موازین شرعی اقدام کنید تا به حرام آلوده نشوید.
221.html,1,بگو: «اى مردم! حق از طرف پروردگارتان به سراغ شما آمده; هر كس (در پرتو آن) هدايت يابد، براى خود هدايت شده; و هر كس گمراه گردد، به زيان خود گمراه مى گردد; و من مامور (به اجبار) شما نيستم!» (108),خوب است با توکل به‌خدا اقدام کنید.,با توکل به‌خدا اقدام کنید مواظب باشید به حرام نیافتید که در این صورت ضرر خواهید کرد.
223.html,-1,آنها مى گويند: «او به دروغ اين (قرآن) را (به خدا) نسبت داده (و ساختگى است)!» بگو: «اگر راست مى گوييد، شما هم ده سوره ساختگى همانند اين قرآن بياوريد; و تمام كسانى را كه مى توانيد -غير از خدا- (براى اين كار) دعوت كنيد!» (13),بد است به‌هیچ‌وجه اقدام نکنید که پشیمان خواهید شد.,در این معامله خیری نیست ترک کنید.
225.html,-1,اى قوم! من به خاطر اين دعوت، اجر و پاداشى از شما نمى طلبم; اجر من، تنها بر خداست! و من، آنها را كه ايمان آورده اند، (بخاطر شما) از خود طرد نمى كنم; چرا كه آنها پروردگارشان را ملاقات خواهند كرد; (اگر آنها را از خود برانم، در دادگاه قيامت، خصم من خواهند بود;) ولى شما را قوم جاهلى مى بينم! (29),بد است زحمت بی‌فایده است ترک نمایید.,زحمت بسیار و سود کم به این همه زحمت نمی‌ارزد ترک کنید.
227.html,-1,فرمود: «اى نوح! او از اهل تو نيست! او عمل غير صالحى است ( فرد ناشايسته اى است)! پس، آنچه را از آن آگاه نيستى، از من مخواه! من به تو اندرز مى دهم تا از جاهلان نباشى!!» (46),بد است خطر آبروریزی دارد ترک کنید.,خطر مالی و آبرویی دارد انجام ندهیدکه پشیمان خواهید شد.
229.html,-1,گفت: «اى قوم! اگر من دليل آشكارى از پروردگارم داشته باشم، و رحمتى از جانب خود به من داده باشد (،مى توانم از ابلاغ رسالت او سرپيچى كنم)؟! اگر من نافرمانى او كنم، چه كسى مى تواند مرا در برابر وى يارى دهد؟! پس، (سخنان) شما، جز اطمينان به زيانكار بودنتان، چيزى بر من نمى افزايد! (63),بسیار بد است با افراد جاهل برخورد می‌کنید و خطر آبروریزی شما را تهدید می‌کند.,ضرر و زیان زیادی خواهید دید حتما ترک کنید.
23.html,-1,كسانى كه كتاب آسمانى به آنان داده ايم، او ( پيامبر) را همچون فرزندان خود مى شناسند; (ولى) جمعى از آنان، حق را آگاهانه كتمان مى كنند! (146),بد است مطلبی وجود دارد که از شما مخفی مانده است اقدام نکنید که پشیمان می‌شوید.,موضوعی را از شما پنهان می‌کنند از این معامله صرف نظر کنید و به‌خدا توکل کنید.
231.html,-1,و هنگامى كه فرمان ما فرا رسيد، آن (شهر و ديار) را زير و رو كرديم; و بارانى از سنگ ( گلهاى متحجر) متراكم بر روى هم، بر آنها نازل نموديم... (82),بسیار بد است حتما ترک کنید که هم خطر جانی و هم آبرویی دارد.,هم خطر مالی و هم آبرویی دارد انجام ندهید.
233.html,-1,روز قيامت، او در پيشاپيش قومش خواهد بود; و (به جاى چشمه هاى زلال بهشت) آنها را وارد آتش مى كند! و چه بد آبشخورى است (آتش)، كه بر آن وارد مى شوند! (98),بسیار بد است حتما ترک کنید که به مسیری خواهید افتاد که آخرش پشیمانی و ندامت است.,ضرر و زیان زیادی خواهید کرد ترک کنید.
235.html,-1,و اگر پروردگارت مى خواست، همه مردم را يك امت (بدون هيچ گونه اختلاف) قرار مى داد; ولى آنها همواره مختلفند... (118),بد است دچار اختلاف و مشکلات زیادی خواهید شد ترک کنید.,اختلافاتی پیدا خواهد شد و در آخر شما متضرر می‌شوید ترک نمایید.
237.html,-1,هنگامى كه او را با خود بردند، و تصميم گرفتند وى را در مخفى گاه چاه قرار دهند، (سرانجام مقصد خود را عملى ساختند;) و به او وحى فرستاديم كه آنها رادر آينده از اين كارشان با خبر خواهى ساخت; در حالى كه آنها نمى دانند! (15),بد است به افراد نادان و جاهل روبرو می‌شوید و به این سبب دچار اذیت و آزار خواهید شد.,بد است شما را فریب می دهند و در نتیجه ضرر خواهید کرد حتما ترک کنید.
239.html,2,هنگامى كه (همسر عزيز) از فكر آنها باخبر شد، به سراغشان فرستاد (و از آنها دعوت كرد); و براى آنها پشتى (گرانبها، و مجلس باشكوهى) فراهم ساخت; و به دست هر كدام، چاقويى (براى بريدن ميوه) داد; و در اين موقع (به يوسف) گفت: «وارد مجلس آنان شو!» هنگامى كه چشمشان به او افتاد، او را بسيار بزرگ (و زيبا) شمردند; و (بى توجه) دستهاى خود را بريدند; و گفتند: «منزه است خدا! اين بشر نيست; اين يك فرشته بزرگوار است!» (31),بسیار خوب است مورد تحسین افرادی قرار می‌گیرید که در اول بکار شما خرده می‌گرفتند.,مشکلاتی وجود دارد ولی با توجه به منفعت و سودی که نصیبتان خواهد شد ناچیز است.
241.html,1,گفتند: «خوابهاى پريشان و پراكنده اى است; و ما از تعبير اين گونه خوابها آگاه نيستيم!» (44),خوب است با کمی صبر و حوصله به نتیجه مطلوبی می‌رسید.,خوب است ان‌شاءالله سود خوبی نصیبتان خواهد شد.
243.html,2,گفت: «آيا نسبت به او به شما اطمينان كنم همان گونه كه نسبت به برادرش (يوسف) اطمينان كردم (و ديديد چه شد)؟! و (در هر حال،) خداوند بهترين حافظ، و مهربانترين مهربانان است س ذللّه (64),بسیار خوب است با توکل به‌خدا اقدام کنید.,از مشکلات نهراسید ان‌شاءالله سود خوبی نصیبتان خواهد شد.
245.html,1,گفت: «پناه بر خدا كه ما غير از آن كس كه متاع خود را نزد او يافته ايم بگيريم; در آن صورت، از ظالمان خواهيم بود!» (79),خوب است ولی مشکلات و زحمت دارد حتی ممکن است حرف و حدیث درست شود ولی در نهایت نتیجه‌ی خوبی دارد.,به مشکلاتی بر می‌خورید ولی در آخر نتیجه‌ی خوبی دارد.
247.html,1,اما هنگامى كه بشارت دهنده فرا رسيد، آن (پيراهن) را بر صورت او افكند; ناگهان بينا شد! گفت: «آيا به شما نگفتم من از خدا چيزهايى مى دانم كه شما نمى دانيد؟!» (96),خوب است مایه‌ی سرور و خوشحالی می‌شود صدقه دهید.,خوب است منفعت خوبی خواهید برد با توکل به‌خدا اقدام کنید.
249.html,2,المر، اينها آيات كتاب (آسمانى) است; و آنچه از طرف پروردگارت بر تو نازل شده، حق است; ولى بيشتر مردم ايمان نمى آورند! (1),بسیار خوب است بشرط آنکه مسائلتان را همه جا عنوان نکنی که بعضی تحمل ندارند که ...,معامله پر منفعتی است ولی قبل از انجام اسرار آنرا با کسی در میان نگذارید.
25.html,1,در آفرينش آسمانها و زمين، و آمد و شد شب و روز، و كشتيهايى كه در دريا به سود مردم در حركتند، و آبى كه خداوند از آسمان نازل كرده، و با آن، زمين را پس از مرگ، زنده نموده، و انواع جنبندگان را در آن گسترده، و (همچنين) در تغيير مسير بادها و ابرهايى كه ميان زمين و آسمان مسخرند، نشانه هايى است (از ذات پاك خدا و يگانگى او) براى مردمى كه عقل دارند و مى انديشند! (164),خوب است ولی با احتیاط و مطالعه نسبت به انجام آن اقدام کنید.,پس از مشورت با افراد خبره و با صبر و تامل اقدام کن ان‌شاءالله خوب است و صدقه فراموش نشود.
251.html,-1,دعوت حق از آن اوست! و كسانى را كه (مشركان) غير از خدا مى خوانند، (هرگز) به دعوت آنها پاسخ نمى گويند! آنها همچون كسى هستند كه كفهاى (دست) خود را به سوى آب مى گشايد تا آب به دهانش برسد، و هرگز نخواهد رسيد! و دعاى كافران، جز در ضلال (و گمراهى) نيست! (14),بد است و زیبائی‌های آن سرابی بیش نیست حتما ترک شود که در صورت انجام پشیمان خواهید شد.,بد است سودی در آن وجود ندارد.
253.html,2,آنها كه ايمان آوردند و كارهاى شايسته انجام دادند، پاكيزه ترين (زندگى)نصيبشان است; و بهترين سرانجامها! (29),بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,سود خوبی خواهید برد با توکل به‌خدا اقدام کنید.
255.html,2,آنها كه كافر شدند مى گويند: «تو پيامبر نيستى!» بگو: «كافى است كه خداوند، و كسى كه علم كتاب (و آگاهى بر قرآن) نزد اوست، ميان من و شما گواه باشند!» (43),بسیار خوب است به اعتراض‌ها اعتنا نکنید و کار خود را انجام دهید.,پس از مشورت با افراد خبره اقدام کنید تا سود خوبی ببرید.
257.html,2,پيامبرانشان به آنها گفتند: «درست است كه ما بشرى همانند شما هستيم، ولى خداوند بر هر كس از بندگانش بخواهد (و شايسته بداند)، نعمت مى بخشد (و مقام رسالت عطا مى كند)! و ما هرگز نمى توانيم معجزه اى جز بفرمان خدا بياوريم! (و از تهديدهاى شما نمى هراسيم;) افراد باايمان بايد تنها بر خدا توكل كنند! (11),بسیار خوب است با توکل به‌خدا اقدام کنید.,با توکل به‌خدا اقدام کنید سود خوبی خواهید برد.
259.html,1,هر زمان ميوه خود را به اذن پروردگارش مى دهد. و خداوند براى مردم مثلها مى زند، شايد متذكر شوند (و پند گيرند)! (25),خوب است اقدام کنید که به اهداف خود می‌رسید.,با رعایت همه‌ی جوانب اقدام کنید ان‌شاءالله سود خواهید برد.
261.html,-1,گردنها را كشيده، سرها را به آسمان بلندكرده، حتى پلك چشمهايشان از حركت بازمى ماند; زيرا به هر طرف نگاه كنند، آثار عذاب آشكار است!) و (در اين حال) دلهايشان (فرومى ريزد; و از انديشه و اميد،) خالى مى گردد! (43),بسیار بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد.,در صورت انجام به‌شدت ضرر خواهید کرد انجام ندهید.
263.html,1,ما در آسمان برجهايى قرار داديم; و آن را براى بينندگان آراستيم. (16),خوب است با توکل به‌خدا انجام دهید که باعث سربلندی شما می‌گردد.,سود خوبی خواهید برد ولی حتما صدقه بدهید.
265.html,1,هنگامى كه بر او وارد شدند و سلام كردند; (ابراهيم) گفت: «ما از شما بيمناكيم!» (52),خوب است اضطراب شما نیز بی‌مورد است انجام دهید که به امید خدا به اهدافتان خواهید رسید.,این قدر تردید نکنید انجام دهید خداوند روزی رسان است.
267.html,-1,همانها كه قرآن را تقسيم كردند (;آنچه را به سودشان بود پذيرفتند، و آنچه را بر خلاف هوسهايشان بود رها نمودند)! (91),بسیار بد است شما را می‌خواهند تا به اهداف خودشان برسند حتما ترک شود.,انجام ندهید که ضرر زیادی در انتظار شما است.
269.html,1,و در زمين، كوه هاى ثابت و محكمى افكند تا لرزش آن را نسبت به شما بگيرد; و نهرها و راه هايى ايجاد كرد، تا هدايت شويد. (15),خوب است ترس و نگرانی در خود راه ندهید و با توکل به‌خدا اقدام کنید.,سود خوبی خواهید برد ممکن است مقداری دوندگی داشته باشد ولی ارزش دارد.
27.html,1,نيكى، (تنها) اين نيست كه (به هنگام نماز،) روى خود را به سوى مشرق و (يا) مغرب كنيد; (و تمام گفتگوى شما، در باره قبله و تغيير آن باشد; و همه وقت خود را مصروف آن سازيد;) بلكه نيكى (و نيكوكار) كسى است كه به خدا، و روز رستاخيز ، و فرشتگان، و كتاب (آسمانى)، و پيامبران، ايمان آورده; و مال (خود) را، با همه علاقه اى كه به آن دارد، به خويشاوندان و يتيمان و مسكينان و واماندگان در راه و سائلان و بردگان، انفاق مى كند; نماز را برپا مى دارد و زكات را مى پردازد; و (همچنين) كسانى كه به عهد خود -به هنگامى كه عهد بستند-وفا مى كنند; و در برابر محروميتها و بيماريها و در ميدان جنگ، استقامت به خرج مى دهند; اينها كسانى هستند كه راست مى گويند; و (گفتارشان با اعتقادشان هماهنگ است;) و اينها هستند پرهيزكاران! (177),خوب است با توکل به‌خدا و ائمه معصومین و دادن صدقه اقدام کنید.,با دادن صدقه و رعایت موازین شرعی اقدام کنید ان‌شاءالله خوب است و منفعت می‌برید.
271.html,0,مشركان گفتند: «اگر خدا مى خواست، نه ما و نه پدران ما، غير او را پرستش نمى كرديم; و چيزى را بدون اجازه او حرام نمى ساختيم!» (آرى،) كسانى كه پيش از ايشان بودند نيز همين كارها را انجام دادند; ولى آيا پيامبران وظيفه اى جز ابلاغ آشكار دارند؟! (35),میانه است ترک آن به ثواب نزدیکتر است.,با افراد خوبی برخورد نخواهید کرد انجام ندهید بهتر است.
273.html,-1,(بگذار) تا نعمتهايى را كه به آنها داده ايم كفران كنند! (اكنون) چند روزى (از متاع دنيا) بهره گيريد، اما بزودى خواهيد دانست (سرانجام كارتان به كجا خواهد كشيد)! (55),بد است انجام ندهید که اصلا به صلاح شما نیست.,بد است سودی نخواهید برد و در صورت داشتن سود نیز امکان به‌حرام افتادن وجود دارد ترک شود.
275.html,-1,آنها غير از خدا، موجوداتى را مى پرستند كه هيچ رزقى را براى آنان از آسمانها و زمين در اختيار ندارند; و توان اين كار را نيز ندارند. (73),بد است به کسانی اتکا خواهید کرد که شما را به حرام می‌اندازند و بدبخت می‌کنند ترک شود.,در این معامله روزی برای شما مقدر نشده انجام ندهید.
277.html,-1,كسانى كه كافر شدند و (مردم را) از راه خدا بازداشتند، بخاطر فسادى كه مى كردند، عذابى بر عذابشان مى افزاييم! (88),بسیار بد است خطر مالی و آبروریزی دارد ترک شود.,ضرر هنگفتی خواهید کرد حتما ترک شود.
279.html,1,ما مى دانيم كه آنها مى گويند: «اين آيات را انسانى به او تعليم مى دهد!» در حالى كه زبان كسى كه اينها را به او نسبت مى دهند عجمى است; ولى اين (قرآن)، زبان عربى آشكار است! (103),خوب است از طعنه‌ها و حرف‌های نادانان نهراسید با توکل به‌خدا به اهدافتان خواهید رسید.,خوب است از مشکلات و حرفها ترسی بدل راه ندهید.
281.html,2,اما پروردگارت نسبت به آنها كه از روى جهالت، بدى كرده اند، سپس توبه كرده و در مقام جبران برآمده اند، پروردگارت بعد از آن آمرزنده و مهربان است. (119),بسیار خوب است اگر تابه‌حال مرتکب عمل اشتباهی شده‌اید فرصت خوبی برای جبران است.,خوب است جبران بعضی از ضررهای گذشته می‌شود بشرط آنکه به گناه نیفتید.
283.html,-1,اميد است پروردگارتان به شما رحم كند! هرگاه برگرديد، ما هم بازمى گرديم; و جهنم را براى كافران، زندان سختى قرار داديم. (8),بسیار بد است دچار مشکلات زیادی خواهید شد به‌هیچ‌وجه انجام ندهید.,زحمت زیاد و در آخر هم زیان و ضرر - انجام ندهید که سخت پشیمان خواهید شد.
285.html,1,و هرگاه از آنان ( مستمندان) روى برتابى، و انتظار رحمت پروردگارت را داشته باشى (تا گشايشى در كارت پديد آيد و به آنها كمك كنى)، با گفتار نرم و آميخته با لطف با آنها سخن بگو! (28),خوب است بعضی اوقات جزئیات یک امر مهمتر است سعی کن با دقت انجام بدهی تا موفق شوی.,با تامل و دقت کامل انجام بده تا موفق شوی.
287.html,-1,بگو: «شما سنگ باشيد يا آهن، (50),بسیار بد است به‌هیچ‌وجه انجام ندهید که جز ضرر و پشیمانی عایدتان نخواهد شد.,بسیار بد است فریب خواهید خورد و ضرر فراوانی خواهید کرد.
289.html,-1,و هنگامى كه در دريا ناراحتى به شما برسد، جز او، تمام كسانى را كه (براى حل مشكلات خود) مى خوانيد، فراموش مى كنيد; اما هنگامى كه شما را به خشكى نجات دهد، روى مى گردانيد; و انسان، بسيار ناسپاس است! (67),بد است شما را پلکان ترقی خودشان خواهند کرد و در آخر به‌شما پشت می‌کنند انجام ندهید.,شما را فریب خواهند داد و ضرر زیادی را به‌شما تحمیل خواهند کرد ترک شود.
29.html,1,آميزش جنسى با همسرانتان، در شب روزهايى كه روزه مى گيريد، حلال است. آنها لباس شما هستند; و شما لباس آنها (هر دو زينت هم و سبب حفظ يكديگريد). خداوند مى دانست كه شما به خود خيانت مى كرديد; (و اين كار ممنوع را انجام مى داديد;) پس توبه شما را پذيرفت و شما را بخشيد. اكنون با آنها آميزش كنيد، و آنچه را خدا براى شما مقرر داشته، طلب نماييد! و بخوريد و بياشاميد، تا رشته سپيد صبح، از رشته سياه (شب) براى شما آشكار گردد! سپس روزه را تا شب، تكميل كنيد! و در حالى كه در مساجد به اعتكاف پرداخته ايد، با زنان آميزش نكنيد! اين، مرزهاى الهى است; پس به آن نزديك نشويد! خداوند، اين چنين آيات خود را براى مردم، روشن مى سازد، باشد كه پرهيزكار گردند! (187),خوب است با رعایت موازین شرعی اقدام کنید.,خوب است با توکل به‌خدا اقدام نمایید ان‌شاءالله منفعت خواهید برد.
291.html,2,مگر رحمت پروردگارت (شامل حالت گردد،) كه فضل پروردگارت بر تو بزرگ بوده است! (87),بسیار خوب است خیر دنیوی و اخروی دارد انجام دهید.,سود خوبی در انتظار شما است با توکل به‌خدا اقدام کنید.
293.html,2,و ما قرآن را بحق نازل كرديم; و بحق نازل شد; و تو را، جز بعنوان بشارت دهنده و بيم دهنده، نفرستاديم! (105),بسیار خوب است باعث خیر دنیوی و اخروی شما خواهد بود با توکل به خدا اقدام کنید.,سود خوبی خواهید برد با توکل به‌خدا اقدام کنید.
295.html,1,و (به آنها گفتيم:) هنگامى كه از آنان و آنچه جز خدا مى پرستند كناره گيرى كرديد، به غار پناه بريد; كه پروردگارتان (سايه) رحمتش را بر شما مى گستراند; و در اين امر، آرامشى ب شما فراهم مى سازد! (16),خوب است اسباب گشایش و توسعه رزق و روزی و رسیدن به اهدافتان خواهد بود.,خوب است سود خوبی نصیب شما خواهد شد با توکل به‌خدا اقدام کنید.
297.html,-1,با كسانى باش كه پروردگار خود را صبح و عصر مى خوانند، و تنها رضاى او را مى طلبند! و هرگز بخاطر زيورهاى دنيا، چشمان خود را از آنها برمگير! و از كسانى كه قلبشان را از ياد خود غافل ساختيم اطاعت مكن! همانها كه از هواى نفس پيروى كردند، و كارهايشان افراطى است. (28),بد است دچار افراد مادی گرا خواهید شد خطر آبرویی دارد حتما ترک شود.,ضرر هنگفتی خواهید کرد انجام ندهید و گر نه به‌شدت پشیمان خواهید شد.
299.html,1,مال و فرزند، زينت زندگى دنياست; و باقيات صالحات ( ارزشهاى پايدار و شايسته) ثوابش نزد پروردگارت بهتر و اميدبخش تر است! (46),خوب است با توکل به‌خدا انجام دهید ان‌شاءالله که موفق می‌شوید.,خوب است ان‌شاءالله سود خوبی خواهید برد البته اگر مرتکب حرام نشوید.
3.html,-1,كسانى كه كافر شدند، براى آنان تفاوت نمى كند كه آنان را (از عذاب الهى) بترسانى يا نترسانى; ايمان نخواهند آورد. (6),بد است و در صورت انجام به‌شدت پشیمان خواهید شد.,در این معامله منفعتی وجود ندارد و در صورت انجام دچار ضرر و زیان خواهید شد.
301.html,2,هنگامى كه از آن جا گذشتند، (موسى) به يار همسفرش گفت: «غذاى ما را بياور، كه سخت از اين سفر خسته شده ايم!» (62),بسیار خوب است ان‌شاءالله هم خیر دنیوی دارد و هم خیر اخروی. با توکل به‌خدا انجام دهید.,سود خوبی عایدتان می‌شود با توکل به‌خدا اقدام کنید.
303.html,2,ما به او در روى زمين، قدرت و حكومت داديم; و اسباب هر چيز را در اختيارش گذاشتيم. (84),بسیار خوب است از نظر مالی و اعتبار به‌شما کمک می‌کند اقدام کنید.,سود خوبی عایدتان خواهد شد صدقه را فراموش نکنید.
305.html,1,كهيعص (1),بسیار خوب است به اهدافتان بطور کامل خواهید رسید به‌خدا توکل کنید تا در سایه‌ی رحمتش به نتیجه دلخواه برسید.,سود خوبی عایدتان خواهد شد خدا را هیچگاه فراموش نکنید که هر چه هست از وجود اوست.
307.html,2,(از اين غذاى لذيذ) بخور; و (از آن آب گوارا) بنوش; و چشمت را (به اين مولود جديد) روشن دار! و هرگاه كسى از انسانها را ديدى، (با اشاره) بگو: من براى خداوند رحمان روزه اى نذر كرده ام; بنابراين امروز با هيچ انسانى هيچ سخن نمى گويم! (و بدان كه اين نوزاد، خودش از تو دفاع خواهد كرد!)» (26),بسیار خوب است ولی قبل از اقدام چیزی نذر کنید و صدقه دهید تا به‌تمام اهدافتان برسید.,منفعت خوبی در این معامله دیده می‌شود به‌شرطی که اسرار خود را برای هر کسی فاش نکنی.
309.html,2,ما او را از طرف راست (كوه) طور فراخوانديم; و نجواكنان او را (به خود) نزديك ساختيم; (52),بسیار خوب است از غم و غصه ها رها می‌شوید و باعث آرامش شما می‌شود از مشکلات جزئی هراسی بخود راه ندهید.,ان‌شاءالله سود زیادی خواهید برد و مشکلات شما تا حد زیادی حل خواهد شد.
31.html,1,حج، در ماه هاى معينى است! و كسانى كه (با بستن احرام، و شروع به مناسك حج،) حج را بر خود فرض كرده اند، (بايد بدانند كه) در حج، آميزش جنسى با زنان، و گناه و جدال نيست! و آنچه از كارهاى نيك انجام دهيد، خدا آن را مى داند. و زاد و توشه تهيه كنيد، كه بهترين زاد و توشه، پرهيزكارى است! و از من بپرهيزيد اى خردمندان! (197),خوب است زحمت دارد ولی اجر و منفعت شما بر زحمتش برتری دارد.,هر چند قدری سختی می‌کشی ولی معامله‌ی پر منفعتی است.
311.html,-1,آيا ديدى كسى را كه به آيات ما كافر شد، و گفت: «اموال و فرزندان فراوانى به من داده خواهد شد»؟! (77),بسیار بد است ضررهای مادی و معنوی زیادی خواهد داشت حتما ترک کنید.,دچار ضرر و زیان خواهید شد و به مشکلات عدیده‌ای برخواهید خورد که تمامی ندارد ترک شود.
313.html,2,و من تو را (براى مقام رسالت) برگزيدم; اكنون به آنچه برتو وحى مى شود، گوش فراده! (13),بسیار خوب است به اهداف خود می‌رسید در هر حال خدا را فراموش نکنید.,منفعت خوبی خواهید برد مسائل شرعی را رعایت کنید.
315.html,1,گفت: «آگاهى مربوط به آنها، نزد پروردگارم در كتابى ثبت است; پروردگارم هرگز گمراه نمى شود، و فراموش نمى كند (و آنچه شايسته آنهاست به ايشان مى دهد)! (52),خوب است خدا را هیچ گاه فراموش نکنید و با توکل به‌خدا اقدام کنید.,با بررسی همه‌ی جوانب اقدام کنید ان‌شاءالله سود خوبی خواهید برد.
317.html,1,ما به موسى وحى فرستاديم كه: «شبانه بندگانم را (از مصر) با خود ببر; و براى آنها راهى خشك در دريا بگشا; كه نه از تعقيب (فرعونيان) خواهى ترسيد، و نه از غرق شدن در دريا! س ذللّه (77),خوب است کسی که نیت خوبی دارد نباید از مسائل و مشکلات بترسد. با توکل به‌خدا اقدام کنید.,با فکر به مشکلات و بزرگ کردن مسائل به جائی نمی‌رسید به‌خدا توکل کنید که هر آنچه روزی شماست خواهد رسید.
319.html,1,اين گونه بخشى از اخبار پيشين را براى تو بازگو مى كنيم; و ما از نزد خود، ذكر (و قرآنى) به تو داديم! (99),خوب است این قدر این پا و آن پا نکنید انجام بدهید و گرنه وقتی متوجه می‌شوید که پشیمانی سودی ندارد.,اقدام کنید خداوند برکتش را خواهد داد.
321.html,-1,مى فرمايد: «آن گونه كه آيات من براى تو آمد، و تو آنها را فراموش كردى; امروز نيز تو فراموش خواهى شد!» (126),بسیار بد است انجام ندهید که به‌شدت پشیمان و نادم خواهید شد.,حتی از فکرش هم بیرون بیایید به حرام خواهید افتاد و آثار بسیار بدی در زندگیتان بجا خواهد گذاشت.
323.html,-1,چه بسيار آباديهاى ستمگرى را در هم شكستيم; و بعد از آنها، قوم ديگرى روى كار آورديم! (11),بسیار بد است خطر جانی و آبرویی دارد حتما ترک شود.,به‌هیچ‌وجه معامله‌ی خوبی نیست حتما ترک شود.
325.html,-1,(آرى،) انسان از عجله آفريده شده; ولى عجله نكنيد; بزودى آياتم را به شما نشان خواهم داد! (37),بد است به دعوا و درگیری کشیده می‌شود و خطر آبرویی دارد حتما ترک شود.,مشکلات زیاد و در آخر هم سودی نخواهید برد ترک شود.
327.html,-1,(هنگامى كه منظره بتها را ديدند،) گفتند: «هر كس با خدايان ما چنين كرده، قطعا از ستمگران است (و بايد كيفر سخت ببيند)!» (59),بد است دچار مشکلات زیادی خواهید شد و در آخر به نتیجه نمی‌رسید که هیچ ممکن است آبرو ریزی هم بشود.,زحمت زیادی دارد و آخر هم به آنچه که مد نظر است نمی رسید. بد است.
329.html,1,و ايوب را (به ياد آور) هنگامى كه پروردگارش را خواند (و عرضه داشت): «بدحالى و مشكلات به من روى آورده; و تو مهربانترين مهربانانى!» (83),خوب است به اهدافتان خواهید رسید با توکل به‌خدا انجام دهید.,سود خوبی خواهید برد با توکل به‌خدا و حفظ موازین شرعی اقدام کنید.
33.html,-1,از بنى اسرائيل بپرس: «چه اندازه نشانه هاى روشن به آنها داديم؟» (ولى آنان، نعمتها و امكانات مادى و معنوى را كه خداوند در اختيارشان گذاشته بود، در راه غلط به كار گرفتند.) و كسى كه نعمت خدا را، پس از آن كه به سراغش آمد، تبديل كند (و در مسير خلاف به كار گيرد، گرفتار عذاب شديد الهى خواهد شد) كه خداوند شديد العقاب است. (211),بسیار بد است هرگز انجام ندهید پشیمان می‌شوید.,با فریب و نیرنگ روبرو می‌شوید و ضرری هنگفت را متحمل می‌شوید انجام ندهید.
